event_id,primary_step_state,primary_point_state,nesting_attempt
32584892560,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32584892562,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32584892564,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32584892565,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32584892570,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32584892571,Step state: Summer,Point state: Summer,Not nesting
32584892572,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32584892573,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32584892574,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32714221233,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32714221237,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32714221238,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32714221239,Step state: Summer,Point state: Summer,Not nesting
32714221241,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32714221242,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32714221264,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32714221265,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32714221266,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32714221267,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32714221268,Step state: Summer,Point state: Summer,Not nesting
32714221271,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32714221272,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32714221284,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32714221285,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32772191060,Step state: Summer,Point state: Summer,Not nesting
32772191062,Step state: Summer,Point state: Summer,Not nesting
32772191068,Step state: Summer,Point state: Summer,Not nesting
32772191072,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32772191073,Step state: Summer,Point state: Summer,Not nesting
32772191074,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32800401961,Step state: Summer,Point state: Summer,Not nesting
32800401962,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32800401964,Step state: Summer,Point state: Summer,Not nesting
32800401965,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32800401966,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32800401967,Step state: Summer,Point state: Summer,Not nesting
32800401969,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32800401970,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32800401972,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32800401973,Step state: Summer,Point state: Summer,Not nesting
32800401975,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32800401976,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32800401977,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32800401978,Step state: Summer,Point state: Summer,Not nesting
32800401979,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32800401980,Step state: Summer,Point state: Summer,Not nesting
32800401982,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32800401983,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32800401984,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32800401990,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32800401993,Step state: Summer,Point state: Summer,Not nesting
32800401994,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32800401995,Step state: Summer,Point state: Summer,Not nesting
32800401997,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32800401998,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32800401999,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32824260875,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32824260877,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32824260878,Step state: Summer,Point state: Summer,Not nesting
32824260880,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32824260883,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32824260884,Step state: Summer,Point state: Summer,Not nesting
32824260886,Step state: Summer,Point state: Summer,Not nesting
32824260888,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32824260890,Step state: Summer,Point state: Summer,Not nesting
32824260893,Step state: Summer,Point state: Summer,Not nesting
32824260895,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32824260897,Step state: Summer,Point state: Summer,Not nesting
32824260899,Step state: Summer,Point state: Summer,Not nesting
32824260900,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32824260902,Step state: Summer,Point state: Summer,Not nesting
32824260909,Step state: Summer,Point state: Summer,Not nesting
32824260910,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32824260913,Step state: Summer,Point state: Summer,Not nesting
32864097822,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32864097828,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32919000127,Step state: Summer,Point state: Summer,Not nesting
32919000128,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32919000129,Step state: Summer,Point state: Summer,Not nesting
32919000131,Step state: Summer,Point state: Summer,Not nesting
32919000132,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32919000134,Step state: Summer,Point state: Summer,Not nesting
32919000135,Step state: Summer,Point state: Summer,Not nesting
32919000140,Step state: Summer,Point state: Summer,Not nesting
32919000141,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32919000143,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32919000145,Step state: Summer,Point state: Summer,Not nesting
32919000146,Step state: Summer,Point state: Summer,Not nesting
32959356296,Step state: Summer,Point state: Summer,Not nesting
32959356297,Step state: Summer,Point state: Summer,Not nesting
32959356299,Step state: Summer,Point state: Summer,Not nesting
32959356300,Step state: Summer,Point state: Summer,Not nesting
32959356301,Step state: Summer,Point state: Summer,Not nesting
32959356302,Step state: Summer,Point state: Summer,Not nesting
32959356307,Step state: Summer,Point state: Summer,Not nesting
32959356311,Step state: Summer,Point state: Summer,Not nesting
32959356316,Step state: Summer,Point state: Summer,Not nesting
32959356317,Step state: Summer,Point state: Summer,Not nesting
32959356318,Step state: Summer,Point state: Summer,Not nesting
32959356320,Step state: Summer,Point state: Summer,Not nesting
32959356322,Step state: Summer,Point state: Summer,Not nesting
32959356324,Step state: Summer,Point state: Summer,Not nesting
32959356325,Step state: Summer,Point state: Summer,Not nesting
32959356326,Step state: Summer,Point state: Summer,Not nesting
32959356327,Step state: Summer,Point state: Summer,Not nesting
32959356332,Step state: Summer,Point state: Summer,Not nesting
32959356336,Step state: Summer,Point state: Summer,Not nesting
32959356341,Step state: Summer,Point state: Summer,Not nesting
32959356342,Step state: Summer,Point state: Summer,Not nesting
32959356343,Step state: Summer,Point state: Summer,Not nesting
